id,name,active,make_id,created_at,updated_at
273,Ducato,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
274,Fiorino,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
275,Linea,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
277,Punto,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
280,Crown Victoria,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
282,EcoSport,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
284,Escape,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
286,Everest,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
288,Expedition,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
289,Explorer,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
290,F150,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
297,Fiesta,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
300,Figo,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
301,Five Hundred,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
302,FLEX,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
303,Focus,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
306,Freestar,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
308,Fusion,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
310,GT,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
311,Mondeo,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
312,Mustang,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
314,Ranger,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
317,Taurus,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
328,Acadia,t,gmc,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
33,Vanquish,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
330,Envoy,t,gmc,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
335,Sierra,t,gmc,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
338,Terrain,t,gmc,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
